License,Count
MIT License,4745344
Apache License 2.0,1223148
Other,1021989
GNU General Public License v3.0,782732
"BSD 3-Clause ""New"" or ""Revised"" License",204671
GNU Affero General Public License v3.0,162571
GNU General Public License v2.0,134946
Creative Commons Attribution 4.0 International,81217
The Unlicense,66232
Mozilla Public License 2.0,66138
Creative Commons Zero v1.0 Universal,60582
GNU Lesser General Public License v3.0,49851
"BSD 2-Clause ""Simplified"" License",49259
ISC License,29137
GNU Lesser General Public License v2.1,22232
NOASSERTION,21000
BSD Zero Clause License,13788
Creative Commons Attribution Share Alike 4.0 International,12956
Eclipse Public License 2.0,9715
Do What The F*ck You Want To Public License,9402
"BSD 3-clause ""New"" or ""Revised"" License",7278
MIT No Attribution,5990
Eclipse Public License 1.0,5943
Boost Software License 1.0,4463
zlib License,3563
European Union Public License 1.2,2710
Open Software License 3.0,2431
SIL Open Font License 1.1,2101
Artistic License 2.0,2058
"BSD 2-clause ""Simplified"" License",2016
Universal Permissive License v1.0,1768
BSD 3-Clause Clear License,1655
Microsoft Public License,1193
Creative Commons Attribution 4.0,1092
Creative Commons Attribution Share Alike 4.0,959
Academic Free License v3.0,727
LaTeX Project Public License v1.3c,637
"BSD 4-Clause ""Original"" or ""Old"" License",557
Educational Community License v2.0,478
European Union Public License 1.1,442
PostgreSQL License,263
"Mulan Permissive Software License, Version 2",234
University of Illinois/NCSA Open Source License,174
Vim License,142
Open Data Commons Open Database License v1.0,73
ODC Open Database License v1.0,70
Microsoft Reciprocal License,63
CeCILL Free Software License Agreement v2.1,59
GNU Free Documentation License v1.3,39
CERN Open Hardware Licence Version 2 - Strongly Reciprocal,33
CERN Open Hardware Licence Version 2 - Permissive,29
CERN Open Hardware Licence Version 2 - Weakly Reciprocal,29
BSD 3-clause Clear License,11
